firstName,lastName,address,city,state,zipCode,phone,ssn,username,password
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567890,A12345,srinicytest01,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567891,A12346,srinicytest02,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567892,A12347,srinicytest03,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567893,A12348,srinicytest04,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567894,A12349,srinicytest05,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567895,A12350,srinicytest06,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567896,A12351,srinicytest07,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567897,A12352,srinicytest08,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567898,A12353,srinicytest09,password@123
Srini,Tester,Kondapur,Hyderabad,Telangana,500084,1234567899,A12354,srinicytest10,password@123
